,total_profit,algorithm,nbr_func,its,seed,elitism_enum,crossover,selection,popsize,tsize,pmut,zero_prob
178,27026,GA,int_nbr_one_day,10000,0,100,uniform_crossover,tournament_select,500,25,0.05,0.1
179,27328,GA,int_nbr_one_day,10000,0,100,uniform_crossover,tournament_select,500,25,0.05,0.5
180,25846,GA,int_nbr_one_day,10000,1,5,uniform_crossover,tournament_select,100,5,0.01,0.1
181,25846,GA,int_nbr_one_day,10000,1,5,uniform_crossover,tournament_select,100,5,0.01,0.5
182,25774,GA,int_nbr_one_day,10000,1,5,uniform_crossover,tournament_select,100,10,0.01,0.1
183,25777,GA,int_nbr_one_day,10000,1,5,uniform_crossover,tournament_select,100,10,0.01,0.5
184,24477,GA,int_nbr_one_day,10000,1,5,uniform_crossover,tournament_select,100,25,0.01,0.1
185,24477,GA,int_nbr_one_day,10000,1,5,uniform_crossover,tournament_select,100,25,0.01,0.5
186,26194,GA,int_nbr_one_day,10000,1,5,uniform_crossover,tournament_select,100,5,0.05,0.1
187,26413,GA,int_nbr_one_day,10000,1,5,uniform_crossover,tournament_select,100,5,0.05,0.5
188,26090,GA,int_nbr_one_day,10000,1,5,uniform_crossover,tournament_select,100,10,0.05,0.1
189,26339,GA,int_nbr_one_day,10000,1,5,uniform_crossover,tournament_select,100,10,0.05,0.5
190,25979,GA,int_nbr_one_day,10000,1,5,uniform_crossover,tournament_select,100,25,0.05,0.1
191,25383,GA,int_nbr_one_day,10000,1,5,uniform_crossover,tournament_select,100,25,0.05,0.5
192,26417,GA,int_nbr_one_day,10000,1,10,uniform_crossover,tournament_select,100,5,0.01,0.1
193,26417,GA,int_nbr_one_day,10000,1,10,uniform_crossover,tournament_select,100,5,0.01,0.5
194,24997,GA,int_nbr_one_day,10000,1,10,uniform_crossover,tournament_select,100,10,0.01,0.1
195,24951,GA,int_nbr_one_day,10000,1,10,uniform_crossover,tournament_select,100,10,0.01,0.5
196,24140,GA,int_nbr_one_day,10000,1,10,uniform_crossover,tournament_select,100,25,0.01,0.1
197,24188,GA,int_nbr_one_day,10000,1,10,uniform_crossover,tournament_select,100,25,0.01,0.5
198,26581,GA,int_nbr_one_day,10000,1,10,uniform_crossover,tournament_select,100,5,0.05,0.1
199,26422,GA,int_nbr_one_day,10000,1,10,uniform_crossover,tournament_select,100,5,0.05,0.5
200,25963,GA,int_nbr_one_day,10000,1,10,uniform_crossover,tournament_select,100,10,0.05,0.1
201,26110,GA,int_nbr_one_day,10000,1,10,uniform_crossover,tournament_select,100,10,0.05,0.5
202,26014,GA,int_nbr_one_day,10000,1,10,uniform_crossover,tournament_select,100,25,0.05,0.1
203,26020,GA,int_nbr_one_day,10000,1,10,uniform_crossover,tournament_select,100,25,0.05,0.5
204,26147,GA,int_nbr_one_day,10000,1,25,uniform_crossover,tournament_select,100,5,0.01,0.1
205,26147,GA,int_nbr_one_day,10000,1,25,uniform_crossover,tournament_select,100,5,0.01,0.5
206,24953,GA,int_nbr_one_day,10000,1,25,uniform_crossover,tournament_select,100,10,0.01,0.1
